"id","round","cageid","FCbox","PPIbox","methcage","methcycle","discard","mixup","earpunch","glucoseage","methage","FCage","PPIage","sacage","bw0","bw1","bw2","bw3","PPIweight","sacweight","BMD","TA","EDL","gastroc","plantaris","soleus","tibia","abnormalbone","experimenters","testisweight","taillength","fastglucose","PreTrainD1","AvToneD1","AvContextD2","AvAltContextD3","AvToneD3","D3.180","D3.240","D3.300","D3.360","p120b1","p120b2","p120b3","p120b4","pp3b1","pp3b2","pp3avg","pp6b1","pp6b2","pp6avg","pp12b1","pp12b2","pp12avg","pp3PPIb1","pp3PPIb2","pp3PPIavg","pp6PPIb1","pp6PPIb2","pp6PPIavg","pp12PPIb1","pp12PPIb2","pp12PPIavg","PPIavg","startle","avgnostim","D1totaldist0to15","D1totaldist15to30","D1totaldist0to30","D2totaldist0to15","D2totaldist15to30","D2totaldist0to30","D3totaldist0to15","D3totaldist15to30","D3totaldist0to30","D1TOTDIST5","D1TOTDIST10","D1TOTDIST15","D1TOTDIST20","D1TOTDIST25","D1TOTDIST30","D2TOTDIST5","D2TOTDIST10","D2TOTDIST15","D2TOTDIST20","D2TOTDIST25","D2TOTDIST30","D3TOTDIST5","D3TOTDIST10","D3TOTDIST15","D3TOTDIST20","D3TOTDIST25","D3TOTDIST30","D1ctrtime0to15","D1ctrtime0to30","D2ctrtime0to15","D2ctrtime0to30","D3ctrtime0to15","D3ctrtime0to30","D1hact0to15","D1hact0to30","D1vact0to15","D1vact0to30","D2hact0to15","D2hact0to30","D2vact0to15","D2vact0to30","D3hact0to15","D3hact0to30","D3vact0to15","D3vact0to30","abBMD","pretrainbin","d1tonebin","altcontextbin","deaf","mwpc","FCbox1","FCbox2","FCbox3","FCbox4","PPIbox1","PPIbox2","PPIbox3","PPIbox4","PPIbox5","methcage1","methcage2","methcage3","methcage4","methcage5","methcage6","methcage7","methcage8","methcage9","methcage10","methcage11","methcage12","SW1","SW2","SW3","SW4","SW5","SW6","SW7","SW8","SW9","SW10","SW11","SW12","SW13","SW14","SW15","SW16","SW17","SW18","SW19","SW20","SW21","SW22","SW23","SW24","SW25"
"4368",NA,NA,NA,NA,NA,NA,"no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26305","SW18",1330002,"1","1","1","1","no","no","R",46,54,62,76,91,38.7,41,41.3,41.6,45.7,46.6,1.91960102378411,74.6,16.9,194.8,23.2,15,19.05,"0","ALwithSL",0.1396,9.7,132,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,100.33,108.5,183.67,119.67,115.6,103.2,109.4,64.6,76,70.3,41.6,40.2,40.9,-0.0654,0.4381,-0.640251461099371,0.4046,0.5862,-0.00799124393173754,0.6166,0.7811,0.365704284961065,-0.0692862658878732,146.08,9.13,2477,1407,3884,2051,965,3016,6490,13686,20176,1252,564,661,691,347,369,1298,366,387,450,36,479,1397,2176,2917,3965,4931,4790,-0.72339887147746,-0.735236829131705,-1.021559383866,-0.991417554181714,-0.742819726864541,-0.698449059273271,4018,6777,0.13029176912532,0.118471298809005,3074,4597,0.128318477259681,-0.0570226113727514,6496,18981,-0.231138825386587,-0.515282170340181,"0","0","0","0","0",-5.82658133947517,"1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26306","SW18",1330002,"2","3","2","1","no","no","R",46,54,62,76,91,29.1,29.8,31,30.6,35,35.7,1.8767949762007,62.3,13.2,154.6,18.8,8.5,18.06,"0","ALwithSL",0.1692,9,140,-1.50667523682235,-1.49496208321649,-1.15292097928787,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,170.83,140.17,113.5,105.83,114.2,135.2,124.7,75.4,129,102.2,77.6,86.6,82.1,0.1853,-0.1912,-1.99563519459754,0.4621,-0.1366,-0.711174819113466,0.4464,0.237,-0.284778876293316,-0.697304443399482,126.83,7.13,4347,3132,7479,3952,2964,6916,9660,10798,20458,1901,1287,1159,969,1184,979,1620,1191,1141,937,1024,1003,2481,3557,3622,3535,3804,3459,-0.76440184997444,-0.751815629333883,-0.714084555945953,-0.728107549243368,-1.14846003241386,-0.853541995090816,5524,9857,0.94362353342903,0.935792760852462,4872,8720,0.381853188778583,0.527492250085701,8810,19023,0.190212620945608,-0.0628408378601904,"0","1","1","0","0",-0.638744450555916,"0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26307","SW18",1330002,"3","4","3","1","no","no","L",46,54,62,76,91,28.2,28.7,28.4,29,32.2,34.1,1.89042101880091,54.1,11.2,143.6,17.6,6.8,18.14,"0","ASLwithSL",0.1878,8.5,112,-1.99563519459754,-1.94982939810479,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,272.67,256.83,289.83,270.5,140.2,155,147.6,113.8,118.8,116.3,88.8,107.6,98.2,0.4541,0.4652,-0.0701604637888861,0.5569,0.5901,0.128614386733745,0.6543,0.6288,0.252707500707128,0.101564120617196,273.33,4.38,1573,1082,2655,1524,912,2436,7137,8596,15733,803,600,170,401,530,151,855,216,453,225,558,129,1709,2555,2873,3254,2593,2749,-0.702803064228031,-0.690341353313662,-0.934239955437967,-0.861203504757321,-0.599951907739854,-0.583743923300027,2969,5207,-0.347487396902982,-0.390032821179129,2839,5106,-0.434410527633524,-0.626602932405488,7315,15515,-1.11602630345513,-1.16590206485374,"0","0","1","0","0",1.40485897592336,"0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26308","SW18",1330002,"4","5","4","1","no","no","L",46,54,62,76,91,27.7,30.6,31.5,30.4,37.5,41.8,1.95279244304409,56.5,12.9,148.6,17.7,8.7,18.18,"0","ALwithSL",0.2002,9,134,-1.84150046943564,-1.600061189366,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.99563519459754,243.17,203.5,127.33,106.33,49.6,63,56.3,43.2,25.2,34.2,11.4,11.6,11.5,0.7563,0.5052,0.232629992302991,0.7877,0.8021,0.58834683661536,0.944,0.9089,1.09992073204586,0.559862311533507,165.42,5.25,3094,2372,5466,3268,2246,5514,10965,11934,22899,1064,939,1091,832,737,803,1636,965,667,1019,866,361,2383,4569,4013,4716,3870,3348,-0.719800364527479,-0.813331094802515,-0.817524783186973,-0.741518582631748,-0.85848775509209,-0.908737163375127,4273,7768,-0.00193020087463734,-0.0706073307158052,4044,7091,-0.120438235381623,-0.238400229824205,10268,21056,-0.749554450205472,-0.905538255509592,"0","1","1","0","0",0.158795971570517,"0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26309","SW18",1330003,"1","1","5","1","no","no","R",46,54,62,76,91,29.1,31.8,32,31.9,37.7,39.5,1.92064500140679,64,14.1,157.4,20.6,9.2,18.35,"0","ASLwithSL",0.1875,9,95,-1.99563519459754,-1.99563519459754,-1.11807594343843,-1.99563519459754,-1.49207953611655,-1.1723990414342,-1.73683898268364,-1.33700521578991,-1.99563519459754,43.5,10.83,13.33,18.67,13.2,19.4,16.3,6.8,16,11.4,6.8,27.6,17.2,-0.2185,-0.455,-1.99563519459754,0.3723,-0.2,-1.02534388789497,0.3723,-1.07,-1.99563519459754,-1.99563519459754,12.08,6,3067,1720,4787,2413,1664,4077,6126,6740,12866,1317,964,786,723,624,373,1138,604,671,567,734,363,1768,2090,2268,2163,2487,2090,-0.681486176460621,-0.58154113506901,-0.737262299831055,-0.57453570147863,-1.10020390135058,-1.09317144344865,4402,7630,0.144143442056066,0.120438235381623,3678,6611,-0.0386294023561308,-0.0366955725543516,5663,11565,-0.671746818324604,-0.891006826337445,"0","0","0","0","1",-1.53944347741373,"1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26310","SW18",1330003,"2","3","6","1","no","no","R",46,54,62,76,91,30.7,32.3,32.2,32.1,35.8,36,1.89431606268444,65.7,13.9,167,20.5,9.2,18.24,"0","ASLwithSL",0.1826,8.5,107,-1.96594423139219,-1.23008118682463,-1.37014058298401,-1.99563519459754,-1.94982939810479,-1.99563519459754,-1.99563519459754,-1.99563519459754,-1.55674907610936,178.5,61.5,94.33,82.83,64.6,56.8,60.7,36.4,49.6,43,22,20.4,21.2,-0.0504,0.3979,-0.677337934309345,0.4081,0.4742,-0.102620893673991,0.6423,0.7837,0.395207633117873,-0.100155554786046,77.92,5.5,3707,2333,6040,3495,2019,5514,8414,9946,18360,1525,1072,1110,1050,830,453,1990,1003,502,887,489,643,2487,2860,3067,3243,3170,3533,-0.546304759072344,-0.586691205126743,-0.718366621582477,-0.550515999102614,-0.724482397851603,-0.740776282943731,4964,8579,0.210561075130958,0.181123696383468,4789,7904,0.114541024940892,0.131278914639319,9080,19582,0.273093763701166,0.251973290824628,"0","1","1","0","0",-1.84288123586986,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26312","SW18",1330003,"4","5","8","1","no","no","L",46,54,62,76,91,25.4,27.8,27.3,27.3,32.1,32.4,1.88817949391832,53.1,11.4,139.6,15.2,6.8,18.2,"0","ASLwithSL",0.2013,8.6,116,-1.89762709129043,-1.94982939810479,-1.89762709129043,-1.99563519459754,-0.733877894481843,-0.397332178647131,-0.810413093652538,-1.06069784035361,-0.849082421005845,275.33,257.83,165.17,230.33,178.2,136.8,157.5,147,69,108,119.8,74.8,97.3,0.3089,0.1717,-0.499888355600385,0.4299,0.5822,0.0105973111472394,0.5354,0.5471,0.0717343786963553,-0.123824251148696,211.5,3.88,4508,2854,7362,6512,3800,10312,15500,16681,32181,2191,1286,1031,1317,1144,393,2565,1882,2065,2144,1290,366,4528,5138,5834,6008,5675,4998,-0.825575900311781,-0.75087247181556,-0.785172591810801,-0.707186474006746,-1.13311430212547,-1.22861300960847,5474,9271,0.0231678650520259,0.161062268690562,6600,11071,0.233210252006982,0.152090982651915,11981,24156,-0.134242382172838,-0.328468244010921,"0","1","1","0","0",1.9013503408861,"0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26313","SW18",1330004,"1","1","9","1","no","no","R",46,54,62,76,91,28.1,30.6,29.8,29.8,33.9,34.3,1.99475694458763,54.8,12.7,147.3,17.1,7.8,17.94,"0","ASLwithSL",0.2232,8.7,157,-1.99563519459754,-0.924658493411408,-0.588879795056542,-1.99563519459754,-0.882417954605991,-0.565008772690217,-0.635398179977495,-1.17981114888081,-1.99563519459754,105.83,168.67,211.17,126.67,132.8,136.6,134.7,102.6,119.8,111.2,51.8,64.4,58.1,0.2126,0.3531,-0.403946775044727,0.3917,0.4327,-0.1541215942934,0.6929,0.695,0.355638043973275,-0.0643932946816023,189.92,5.38,3915,2377,6292,3599,1474,5073,9557,13184,22741,1479,1490,946,730,814,833,1720,944,935,559,632,283,2542,3231,3784,4110,4464,4610,-0.895808878225269,-0.835906279303028,-0.748051549401169,-0.749742568135895,-1.1723990414342,-1.18439591808978,4453,7349,-0.912948292591668,-0.984567256426601,4276,6315,-0.821324745753722,-1.05742999587676,8114,18454,-0.912948292591668,-1.22133751414601,"1","0","1","0","0",0.671140921496146,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26315","SW18",1330004,"3","4","11","1","no","no","L",46,54,62,76,91,34.1,37.3,37,36.6,43.7,46.4,1.88081359228079,75.7,13.9,179.4,23.1,10.7,19.19,"0","ALwithSL",0.2102,9.4,132,-1.99563519459754,-1.94982939810479,-1.36463708353487,-1.99563519459754,-1.99563519459754,-1.42777453313554,-1.99563519459754,-1.99563519459754,-1.99563519459754,53.67,62.83,142,87.67,33.2,62.4,47.8,38.8,47.6,43.2,18.2,36.4,27.3,0.4716,0.5606,0.0279782369613279,0.3825,0.6648,0.0410278850679782,0.7103,0.7437,0.425371763818282,0.156094077539319,102.42,4.5,2688,2412,5100,2849,1337,4186,8471,12017,20488,1085,989,614,1024,467,921,1370,708,771,531,744,62,2194,3024,3253,4198,3693,4126,-0.844216335395912,-0.747114073900296,-0.741332925286747,-0.77725115787098,-0.87219732331611,-0.741147322917975,3616,7401,-0.688629170997799,-0.755222910695853,4238,6695,-0.655279883455093,-0.827713075442571,8981,20953,-1.04774832758941,-1.3557236692079,"0","0","1","0","0",-3.64340718113961,"0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
