"","snp","chr","pos","p"
"1","rs29477109",11,95292217,5.05231663642037e-14
"2","rs27071351",11,96114911,7.07418067212565e-14
"3","rs27024162",11,96918116,7.17058199722475e-14
"4","rs49423067",11,96918212,7.19866140655379e-14
"5","rs29470802",11,95263588,8.04984862216764e-14
"6","rs29459746",11,95987376,1.03725122425764e-13
"7","rs50417410",11,97011284,1.043335301525e-13
"8","rs29473466",11,96920033,1.33866242959201e-13
"9","rs221074340",11,96018255,1.35574083178277e-13
"10","rs27052903",11,96676967,1.35589917766466e-13
"11","rs27037822",11,96837870,1.37122433435178e-13
"12","rs235100417",11,95616625,1.41760299213767e-13
"13","rs29429238",11,97021675,1.43876823610236e-13
"14","rs46027821",11,95786946,1.53274004545763e-13
"15","rs27087491",11,95560085,1.61893382186648e-13
"16","rs262519705",11,95616486,1.66027195742923e-13
"17","rs26992389",11,95633451,1.76208871818326e-13
"18","rs45712572",11,97011213,1.78032827174656e-13
"19","rs50357197",11,96913128,2.01278085127442e-13
"20","rs47175959",11,96913129,2.01315022056412e-13
"21","rs27042185",11,95365698,2.15432251623343e-13
"22","rs27101889",11,95786840,2.23074942346864e-13
"23","rs27072418",11,95581400,2.24700348672739e-13
"24","rs27087125",11,95841983,2.24728841357539e-13
"25","rs27056647",11,96635784,2.25076398492197e-13
"26","rs27023901",11,97046932,2.35596261866139e-13
"27","rs50565511",11,96902806,2.37497416396771e-13
"28","rs49153109",11,96691808,2.51531187395961e-13
"29","rs49137630",11,96673994,2.5264422548322e-13
"30","rs6284806",11,96737262,2.59793199141993e-13
"31","rs27102549",11,95369819,2.67800241274949e-13
"32","rs242272203",11,96925176,2.82454796700926e-13
"33","rs27024045",11,96992493,2.877176666919e-13
"34","rs259405926",11,95509628,2.93257430117502e-13
"35","rs240744127",11,96816976,3.12170156699098e-13
"36","rs49805975",11,96651738,3.1531877018102e-13
"37","rs50536616",11,96816950,3.15362730226529e-13
"38","rs223750815",11,96925167,3.16214877014449e-13
"39","rs29395280",11,96590374,3.16444672051312e-13
"40","rs27037855",11,96816977,3.18040863471628e-13
"41","rs27037853",11,96817194,3.26757383049382e-13
"42","rs29453950",11,95490030,3.34303820797367e-13
"43","rs228351260",11,97034897,3.52522904760286e-13
"44","rs27072417",11,95581640,3.57681055686638e-13
"45","rs29411750",11,95617055,3.5860028453517e-13
"46","rs29398017",11,96826409,3.81435123611461e-13
"47","rs219349021",11,96114611,3.93088799655107e-13
"48","rs29453628",11,97008042,3.95488920883996e-13
"49","rs228887386",11,96992818,4.08137744048142e-13
"50","rs45772715",11,96212486,4.20614164281025e-13
"51","rs254292126",11,95676816,4.32553467585404e-13
"52","rs213000649",11,95874870,4.41820658733804e-13
"53","rs29463863",11,95786762,4.99615902307388e-13
"54","rs29414086",11,97046990,5.1675245064671e-13
"55","rs29465495",11,96956540,5.26997587708539e-13
"56","rs29383005",11,96262978,5.32872409455355e-13
"57","rs108218754",11,97024252,5.52322218514764e-13
"58","rs27024063",11,96967700,5.59295272345388e-13
"59","rs29410159",11,96311652,6.19224816307986e-13
"60","rs50509256",11,96872072,6.74881333786588e-13
"61","rs27037797",11,96844820,6.87461909706123e-13
"62","rs47348646",11,96212467,6.91167300605122e-13
"63","rs27024153",11,96924190,7.09256970923347e-13
"64","rs260203669",11,97024457,7.35613982704579e-13
"65","rs50589709",11,96872025,7.40171928327058e-13
"66","rs218708023",11,95877631,7.46950293614721e-13
"67","rs51381251",11,95966956,7.49119085491738e-13
"68","rs27023949",11,97033029,8.63332315755432e-13
"69","rs6240590",11,96956233,8.69929437496287e-13
"70","rs29400195",11,95786761,8.71835753483797e-13
"71","rs29445251",11,96956537,9.16975798717429e-13
"72","rs107730208",11,96873554,9.2588031195631e-13
"73","rs29454372",11,97024403,9.45223560506867e-13
"74","rs29481658",11,95169346,9.93216895958857e-13
"75","rs27045766",11,96164764,1.04647859861397e-12
"76","rs50643557",11,96485409,1.29127891899488e-12
"77","rs29470086",11,96992473,1.34691775636804e-12
"78","rs29407165",11,96371918,1.77815214526629e-12
"79","rs50909583",11,96071569,1.81280854947317e-12
"80","rs29441487",11,95870853,1.95734184215483e-12
"81","rs46964966",11,96507316,2.00663482320189e-12
"82","rs29479349",11,96262912,2.07028129495048e-12
"83","rs29395706",11,96717503,2.08605025783302e-12
"84","rs47491151",11,96507429,2.37993379798148e-12
"85","rs29386279",11,96336851,2.38728452327602e-12
"86","rs27037823",11,96837630,2.66695984369144e-12
"87","rs215310522",11,97010969,2.70720768738065e-12
"88","rs29430237",11,96933578,2.77236464375607e-12
"89","rs27056748",11,96616083,2.86037678061001e-12
"90","rs29435046",11,96082940,3.14914402913686e-12
"91","rs27037798",11,96844780,3.20362846636818e-12
"92","rs47283511",11,96071277,3.92384493917579e-12
"93","rs27070685",11,95270985,3.95130189733826e-12
"94","rs51354900",11,95582379,4.00154392770001e-12
"95","rs27070712",11,95252424,5.49425992421989e-12
"96","rs257710525",11,96682022,5.59364680710276e-12
"97","rs27055391",11,95765341,6.73614784131247e-12
"98","rs46637219",11,96655402,6.82630583526979e-12
"99","rs259190588",11,95616230,7.55447570571781e-12
"100","rs48629300",11,96037375,8.12476093567674e-12
"101","rs29392666",11,95676593,8.73120747928222e-12
"102","rs27052881",11,96679234,9.68058170892926e-12
"103","rs234231890",11,95877691,9.98289395972122e-12
"104","rs27086569",11,95169162,1.00609701550744e-11
"105","rs211990531",11,97035268,1.04159731797844e-11
"106","rs50075097",11,96071547,1.05713115871227e-11
"107","rs29385358",11,95650370,1.07049288095672e-11
"108","rs29450251",11,96049518,1.11215953099409e-11
"109","rs27045534",11,96311680,1.14585606040604e-11
"110","rs29405049",11,96262889,1.24932722738882e-11
"111","rs27042374",11,95292156,1.2763204599727e-11
"112","rs27045535",11,96309635,1.3985515502387e-11
"113","rs49294216",11,94753785,1.40468878311783e-11
"114","rs6289788",11,96201066,1.60935893510562e-11
"115","rs26992391",11,95633216,1.7145272449788e-11
"116","rs49072129",11,96772332,1.78364556715216e-11
"117","rs27055400",11,95763426,1.87223763732325e-11
"118","rs27071374",11,96075269,2.27535357328804e-11
"119","rs49725879",11,96737037,3.01468028552801e-11
"120","rs227486741",11,95616235,3.22183203928555e-11
"121","rs47810889",11,94826961,3.55821082681705e-11
"122","rs29467597",11,94989115,3.65454803393029e-11
"123","rs51371477",11,96872576,3.67464241284686e-11
"124","rs29385180",11,94989096,3.92097272731377e-11
"125","rs27060438",11,94882101,4.33378388032582e-11
"126","rs252354366",11,95144609,4.39874948973969e-11
"127","rs27045638",11,96186201,4.43646147757863e-11
"128","rs233696367",11,96261688,4.73233505421393e-11
"129","rs29485088",11,95763428,5.04138969572835e-11
"130","rs46443934",11,96485362,5.50142387894496e-11
"131","rs27056747",11,96616118,5.55617376484933e-11
"132","rs13462773",11,95680550,5.95876852100307e-11
"133","rs248912532",11,95877699,6.06744165157185e-11
"134","rs51435472",11,96872277,6.39512855010737e-11
"135","rs29413661",11,95942765,7.23700578533773e-11
"136","rs247594476",11,96296440,8.3931766127546e-11
"137","rs27037903",11,96776217,8.71937138629551e-11
"138","rs29408078",11,94896841,9.17608831413115e-11
"139","rs230192448",11,96295964,9.92885260853353e-11
"140","rs29435308",11,96165281,1.08009251351163e-10
"141","rs27042372",11,95292496,1.09027047272532e-10
"142","rs29399258",11,94896887,1.1628873703076e-10
"143","rs52488970",11,96212694,1.204361713225e-10
"144","rs49839558",11,94826955,1.37801763138546e-10
"145","rs27101597",11,95046996,1.4798920321399e-10
"146","rs51014101",11,96872269,1.89836007428287e-10
"147","rs227018049",11,95142472,1.95762182362923e-10
"148","rs50079241",11,94881746,2.5637988908703e-10
"149","rs6258876",11,96682466,2.60293101335005e-10
"150","rs29454073",11,95490251,3.40513512234135e-10
"151","rs29480012",11,95359866,3.90442196077818e-10
"152","rs27056612",11,96643463,4.55443161284795e-10
"153","rs27087492",11,95560062,5.24657973190037e-10
"154","rs27055392",11,95765313,5.53454651006653e-10
"155","rs29480805",11,95141975,5.58760454556213e-10
"156","rs29459977",11,96309998,6.41139212093406e-10
"157","rs250036259",11,94924128,6.53027409923624e-10
"158","rs27052855",11,96682007,7.79099743016085e-10
"159","rs29467625",11,96772746,9.62795890386347e-10
"160","rs27045665",11,96181601,1.00423360214205e-09
"161","rs29391151",11,97086545,1.12051439220753e-09
"162","rs51098318",11,96902263,1.15211099208905e-09
"163","rs218819110",11,95663246,1.4554603241398e-09
"164","rs33583459",5,23804224,2.10315275570238e-09
"165","rs247496609",11,96447119,2.1339114934712e-09
"166","rs29404246",11,95368976,3.37123518742436e-09
"167","rs6289767",11,96201050,3.59178266898786e-09
"168","rs27070938",11,95180162,3.70510842714664e-09
"169","rs234151819",5,22996811,3.76122068563322e-09
"170","rs255129792",5,22996836,3.82201353388948e-09
"171","rs27060440",11,94881692,4.15255296389219e-09
"172","rs33669127",5,21840869,4.27165268371073e-09
"173","rs29391212",11,96293200,4.62115302501743e-09
"174","rs33624370",5,23067544,4.63342846393335e-09
"175","rs49052372",11,94848383,5.09819774279272e-09
"176","rs33578952",5,23324930,5.17748328868246e-09
"177","rs47013135",5,23621770,5.21698102864246e-09
"178","rs27087557",11,95522868,5.44989679592393e-09
"179","rs48596529",11,96651730,5.5976312338348e-09
"180","rs232134876",11,94848364,5.661959950554e-09
"181","rs47597074",11,96509141,5.75175741688295e-09
"182","rs32049858",5,23977702,6.00211669562307e-09
"183","rs33415519",5,24400013,6.93991738638895e-09
"184","rs108614897",5,23716796,7.29160127363439e-09
"185","rs29474889",11,95942842,7.35868136909499e-09
"186","rs32014443",5,24469602,8.18767279140328e-09
"187","rs32014440",5,24469698,8.21882409212555e-09
"188","rs29454172",11,95468436,8.56544846536833e-09
"189","rs32028013",5,24282889,9.09310396262496e-09
"190","rs252284351",5,24399809,9.26329867837878e-09
"191","rs49468803",5,24110307,9.44904604442675e-09
"192","rs259173355",5,24107859,9.50304264253633e-09
"193","rs32025551",5,24324574,9.50876496478675e-09
"194","rs27037781",11,96858230,1.00226547022986e-08
"195","rs27045661",11,96182175,1.08702733564403e-08
"196","rs29508215",5,24107806,1.09012622827193e-08
"197","rs29779982",5,24107800,1.09020684319503e-08
"198","rs32027977",5,24333207,1.21430228288082e-08
